count.mut_threshold,num_unique_haplotypes,num_mutations_pass_threshold,average_haplotype_size,std_haplotype_size,num_unique_hap_country_combinations,average_hap_country_size,std_hap_country_size,total_sequences_in_final_analysis,Type
10000.0,7102,237,1369.33722894959,23453.6779625297,15207,639.510291313211,8229.01801239886,9725033,Spike_Countries
20000.0,5372,163,1835.63291139241,28599.7555169014,12023,820.179655659985,9839.99633498724,9861020,Spike_Countries
40000.0,4566,138,2169.40976784932,32271.1461228583,10334,958.537352428876,11001.0256325786,9905525,Spike_Countries
70000.0,4028,128,2467.57497517378,35949.0671089952,9299,1068.86675986665,12249.7803886001,9939392,Spike_Countries
100000.0,3795,119,2624.02108036891,37742.3456904828,8803,1131.22344655231,12762.6381681661,9958160,Spike_Countries
140000.0,3494,107,2856.07240984545,39715.0036114445,8161,1222.78115427031,13371.7275669286,9979117,Spike_Countries
200000.0,3091,101,3237.69103849887,43607.0963430549,7077,1414.11657481984,14777.0689789215,10007703,Spike_Countries
400000.0,2431,75,4135.38667215138,51758.6921413251,5796,1734.49361628709,16866.351860221,10053125,Spike_Countries
600000.0,2199,66,4579.96816734879,57327.1059552594,5258,1915.43362495245,18861.2505360737,10071350,Spike_Countries
800000.0,2055,64,4904.73333333333,61125.734509964,4993,2018.67154015622,19912.886465364,10079227,Spike_Countries
1000000.0,1978,58,5099.05561172902,62408.2997754454,4843,2082.57939293826,20242.8786457721,10085932,Spike_Countries
1250000.0,1634,47,6185.42227662179,70825.4121490215,4161,2428.97861091084,22392.6707441957,10106980,Spike_Countries
1500000.0,1468,44,6890.05858310627,77512.16875799,3851,2626.48818488704,24003.5053384076,10114606,Spike_Countries
500.0,20450,1399,530.47564792176,13284.4994505785,20450,530.47564792176,13284.4994505785,10848227,Spike_Global
1000.0,18775,956,583.252942743009,14112.6097453419,18775,583.252942743009,14112.6097453419,10950574,Spike_Global
1500.0,17397,740,633.685463010864,14884.2052254345,17397,633.685463010864,14884.2052254345,11024226,Spike_Global
3000.0,15223,502,732.074820994548,16385.5225379298,15223,732.074820994548,16385.5225379298,11144375,Spike_Global
7000.0,12539,330,900.139086051519,18901.7777251747,12539,900.139086051519,18901.7777251747,11286844,Spike_Global
10000.0,11625,277,975.072860215054,20047.285910524,11625,975.072860215054,20047.285910524,11335222,Spike_Global
20000.0,8470,180,1355.15572609209,25266.5549190588,8470,1355.15572609209,25266.5549190588,11478169,Spike_Global
40000.0,6865,142,1677.24049526584,29353.2271074691,6865,1677.24049526584,29353.2271074691,11514256,Spike_Global
70000.0,6323,132,1824.04459908271,31603.8519598132,6323,1824.04459908271,31603.8519598132,11533434,Spike_Global
100000.0,5659,122,2042.27743417565,34644.6766293916,5659,2042.27743417565,34644.6766293916,11557248,Spike_Global
140000.0,5408,113,2138.56527366864,35588.5363044756,5408,2138.56527366864,35588.5363044756,11565361,Spike_Global
200000.0,4876,104,2375.62653814602,38191.7913058732,4876,2375.62653814602,38191.7913058732,11583555,Spike_Global
400000.0,3754,78,3095.33803942461,46392.8725903982,3754,3095.33803942461,46392.8725903982,11619899,Spike_Global
600000.0,3356,73,3466.09743742551,51825.3441998606,3356,3466.09743742551,51825.3441998606,11632223,Spike_Global
800000.0,2967,64,3925.87259858443,56887.5813412411,2967,3925.87259858443,56887.5813412411,11648064,Spike_Global
1000000.0,2967,64,3925.87259858443,56887.5813412411,2967,3925.87259858443,56887.5813412411,11648064,Spike_Global
1250000.0,2771,57,4206.10754240346,59291.681449141,2771,4206.10754240346,59291.681449141,11655124,Spike_Global
1500000.0,2325,47,5018.7023655914,66620.9052218018,2325,5018.7023655914,66620.9052218018,11668483,Spike_Global
